GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
"commons-exec (Jan 19, 2019 5:04:57 PM)/commons-exec/src/test/java",org.apache.commons.exec.issues,Exec49Test,0,151,2,6,0,34,2,5,0,3
"commons-exec (Jan 19, 2019 5:04:57 PM)/commons-exec/src/test/java",org.apache.commons.exec.issues,Exec34Test,0,115,0,0,0,27,0,3,0,3
"commons-exec (Jan 19, 2019 5:04:57 PM)/commons-exec/src/test/java",org.apache.commons.exec.issues,Exec60Test,2,135,3,5,0,30,3,3,0,2
"commons-exec (Jan 19, 2019 5:04:57 PM)/commons-exec/src/test/java",org.apache.commons.exec.issues,Exec44Test,0,67,0,0,0,15,0,2,0,2
"commons-exec (Jan 19, 2019 5:04:57 PM)/commons-exec/src/test/java",org.apache.commons.exec,StandAloneTest,0,42,1,1,0,12,1,3,0,3
"commons-exec (Jan 19, 2019 5:04:57 PM)/commons-exec/src/test/java",org.apache.commons.exec,LogOutputStreamTest,0,75,0,0,0,16,0,5,0,5
"commons-exec (Jan 19, 2019 5:04:57 PM)/commons-exec/src/test/java",org.apache.commons.exec,TutorialTest.PrintResultHandler,41,9,4,0,13,3,5,1,3,1
"commons-exec (Jan 19, 2019 5:04:57 PM)/commons-exec/src/test/java",org.apache.commons.exec,CommandLineTest,53,1173,9,9,14,235,9,35,0,35
"commons-exec (Jan 19, 2019 5:04:57 PM)/commons-exec/src/test/java",org.apache.commons.exec,DefaultExecutorTest,218,1377,28,30,49,297,26,39,1,35
"commons-exec (Jan 19, 2019 5:04:57 PM)/commons-exec/src/test/java",org.apache.commons.exec,TestUtil,56,27,8,4,8,6,6,2,0,2
"commons-exec (Jan 19, 2019 5:04:57 PM)/commons-exec/src/test/java",org.apache.commons.exec,LogOutputStreamTest.SystemLogOutputStream,0,11,0,0,0,5,0,2,0,2
"commons-exec (Jan 19, 2019 5:04:57 PM)/commons-exec/src/test/java",org.apache.commons.exec,TutorialTest,28,120,2,2,8,32,2,3,0,3
